trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:06:00,00:06:00,101S,1,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:07:30,00:07:30,103S,2,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:09:00,00:09:00,104S,3,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:10:30,00:10:30,106S,4,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:12:00,00:12:00,107S,5,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:13:00,00:13:00,108S,6,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:14:30,00:14:30,109S,7,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:16:00,00:16:00,110S,8,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:17:30,00:17:30,111S,9,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:19:30,00:19:30,112S,10,,1,1,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:21:00,00:21:00,113S,11,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:23:00,00:23:00,114S,12,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:24:30,00:24:30,115S,13,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:26:00,00:26:00,116S,14,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:28:30,00:28:30,117S,15,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:29:30,00:29:30,118S,16,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:30:30,00:30:30,119S,17,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:32:30,00:32:30,120S,18,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:34:30,00:34:30,121S,19,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:35:30,00:35:30,122S,20,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:37:00,00:37:00,123S,21,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:38:30,00:38:30,124S,22,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:40:00,00:40:00,125S,23,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:42:00,00:42:00,126S,24,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:43:30,00:43:30,127S,25,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:45:00,00:45:00,128S,26,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:46:00,00:46:00,129S,27,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:47:00,00:47:00,130S,28,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:48:00,00:48:00,131S,29,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:49:00,00:49:00,132S,30,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:50:30,00:50:30,133S,31,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:52:00,00:52:00,134S,32,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:54:00,00:54:00,135S,33,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:55:00,00:55:00,136S,34,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,00:56:00,00:59:00,137S,35,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,01:00:30,01:00:30,138S,36,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,01:02:00,01:02:00,139S,37,,0,0,
AFA19GEN-1037-Sunday-00_000600_1..S03R,01:04:00,01:04:00,142S,38,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:12:00,01:12:00,142N,1,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:14:30,01:14:30,139N,2,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:15:30,01:15:30,138N,3,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:16:30,01:16:30,137N,4,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:18:00,01:18:00,136N,5,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:19:00,01:19:00,135N,6,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:20:30,01:20:30,134N,7,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:22:00,01:22:00,133N,8,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:23:30,01:23:30,132N,9,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:24:30,01:24:30,131N,10,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:25:30,01:25:30,130N,11,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:26:30,01:26:30,129N,12,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:28:00,01:28:00,128N,13,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:29:30,01:29:30,127N,14,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:31:30,01:31:30,126N,15,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:33:30,01:33:30,125N,16,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:35:00,01:35:00,124N,17,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:36:00,01:36:00,123N,18,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:37:30,01:37:30,122N,19,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:39:00,01:39:00,121N,20,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:40:30,01:40:30,120N,21,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:42:00,01:42:00,119N,22,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:43:30,01:43:30,118N,23,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:44:30,01:44:30,117N,24,,0,0,
AFA19GEN-1037-Sunday-00_007200_1..N03R,01:46:30,01:46:30,116N,25,,0,0,
